疾病名称,简介
幽门螺杆菌感染,"幽门螺杆菌是一种什么样的细菌？
幽门螺杆菌是一种微厌氧、耐酸的菌，最适的生存温度为 37℃，所以它可以适应胃内的酸性环境。
幽门螺杆菌在人体内至少存在五万年，有可能会一直伴随人类的进化
[1]
。
幽门螺杆菌，可以寄居在人的胃黏膜，是导致各种胃病的原因之一。
幽门螺杆菌的以下几个特点，使它可以在人体胃内高酸性的环境中生存：
幽门螺杆菌菌体呈螺旋形，一端有鞭毛，为它提供动力，可运动穿越粘液层。
幽门螺杆菌含有丰富的尿素酶，菌体含脂肪酸和蛋白质，生长缓慢，最适宜的生存环境温度为 37℃，pH 在 5.5～8.5 之间，对酸有一定耐受性。
幽门螺杆菌一旦感染，很难靠人体自身的免疫力清除，一般需要规范的清除幽门螺杆菌治疗。
幽门螺杆菌感染的发生率高吗？
从目前统计数据来看，是比较高的。幽门螺杆菌感染是人类最常见的慢性细菌感染。
全世界范围内和各年龄人群中，都有幽门螺杆菌感染的记录。
我们国家的一项流行病学调查显示，平均每 100 个人中就有 59 个人被幽门螺杆菌感染
[2]
。"
急性胃肠炎,"急性胃肠炎是什么病？
急性胃肠炎是由细菌、病毒、寄生虫等多种致病原导致的胃、小肠、大肠消化道内膜的急性炎症，以呕吐、腹泻、腹痛、恶心等为主要症状
[1]
。如因进食过敏、刺激性食物、药物引起，则为非感染性胃肠炎，症状与感染性胃肠炎相仿。
临床上主要给予止吐、止泻、补充水和电解质及抗炎（必要时）等治疗。若未及时处理，可能造成脱水、电解质紊乱等，严重者可危及生命
[1]
。"
胃溃疡,"胃溃疡是什么？
胃溃疡是指胃部的黏膜被自身消化而形成的溃疡，简单来说就是胃黏膜被胃酸腐蚀，属于消化性溃疡的一种
[1,2]
。
胃溃疡发生于任何年龄段，多见于中老年，通常是症状不明显，或者容易被忽略
[1]
。
部分症状明显的患者可表现为上腹痛，或者在进食后出现胃部难受
[1]
。需经消化内镜检查确诊，治疗方面，以抑酸治疗和修复胃黏膜最为关键，一般经抑酸治疗后多可缓解症状。
胃溃疡常见吗？
我国尚缺乏胃溃疡发病率的确切数据，但可以从消化性溃疡的发病率进行估计。作为全球多发性疾病，消化性溃疡的患病率为 6 %～15 %
[3]
，也就是 100 个人里面，可能有 6 到 15 个人患有消化性溃疡，且由于酗酒等不良生活习惯，男性比女性更容易出现这种疾病
[1,3]
。
胃溃疡会发生癌变吗？
会。少数的胃溃疡可以发生癌变。
胃溃疡的癌变指的是在胃溃疡的基础上，溃疡边缘黏膜上皮因受长期刺激，逐渐发展为不典型增生以致发生癌变。
大多数资料报道显示胃溃疡的癌变发生率约 1 %～3 %
[3]
。多见于有长期胃溃疡病史，大于 45 岁，经过严格正规治疗 1~2 月无好转，且粪便隐血试验持续阳性的患者，应考虑是否有癌变的可能
[1]
。
胃溃疡患者应该选择去哪个科室就诊？
一般选择消化内科就诊。"
胃食管反流病,"胃食管反流病是什么？
胃食管反流病，是由于食管下括约肌功能不全，胃或十二指肠内容物（含胃酸、胃蛋白酶、胆汁等）频繁反流入食管及食管以外的部位（如咽喉、口腔、肺），而引起的慢性病
[1]
。
比较典型的症状包括反酸、烧心、胸骨后不适、嗳气等，反流入口腔、咽喉部或肺部可出现咳嗽、哮喘、牙蚀。
胃食管反流病很难治愈，但可以通过药物或手术治疗改善症状，提高生活质量。
胃食管反流病怎么分类？
结合胃镜，胃食管反流病可以分为三类：
如果镜下见到有食管黏膜的糜烂、溃疡，属于反流性食管炎；
如果镜下食管黏膜没有观察到明显异常，但患者有前述胃食管反流的症状，可能属于非糜烂性胃食管反流病，此时需要进行食道 pH 值监测来明确是否存在反流。
Barrett 食管：当内镜检查发现食管下段有柱状上皮化生表现，并且经病理学检查证实有柱状细胞存在时即为 Barrett 食管。
胃食管反流病的人多吗？
多。
在消化内科门诊，胃食管反流病很常见。
西方国家的发病率为 10%～20%（约每 100 人中有 10～20 个患病），亚洲国家发病率约为 5%（约每 100 个亚洲人中有 5 个患病）
[3]
。"
痔疮,"痔疮是什么？
痔疮简称「痔」， 是由于长期便秘、久坐久站、以及某些疾病因素，导致肛门直肠底部和肛门黏膜的静脉丛回流受阻，瘀血积聚于肛周或直肠底部、扩张、屈曲，从而形成的一个或多个柔软的静脉团。
痔疮的主要表现为大便时反复出血，肛门处坠胀、疼痛，肛周部位潮湿、瘙痒，有时肛门内部的肿物会脱出。临床以药物治疗为主，严重者需要手术治疗。轻症患者调整久坐等不良生活方式可自然恢复，但长期便血可能引起贫血等严重后果，影响患者生活。
痔疮在我国常见吗？
痔疮是常见慢性病，调查数据显示，在我国，城市居民的肛肠疾病发病率为 51. 14% ，痔疮占其中的 50. 28% ，即我国城市居民每 10000 人中约有 5114人患有肛肠疾病，每 10000 个肛肠疾病的患者中约有 5028 个患有痔疮
[1]
。
痔疮有哪些类型？
皮肤与直肠黏膜交界处有一条锯齿状的环状线，医学上称这条线为齿状线。
痔疮以齿状线为界分为 3 类：
内痔、外痔、混合痔
：
齿状线以上的痔称为内痔，主要表现为出血，肿物脱出肛门。
齿状线以下的痔称为外痔，主要表现为肛门部不适、潮湿，有时伴有瘙痒。
齿状线上下均有的痔称为混合痔，包含了内痔和外痔两者的症状表现。
图片来源：9 版《外科学》
痔疮应该看什么科？
肛肠外科。如果医院未设肛肠外科，可看普外科。"
肠易激综合征,"肠易激综合征是怎么回事？
肠易激综合征（irritable bowel syndrome, IBS）属于胃肠功能紊乱性疾病，指的是持续存在或间歇发作的腹痛、腹胀、排便习惯和大便性状异常，而又没有形态学及生化学异常的症候群[1]。这个疾病在临床十分常见，并且多见于中青年人
[2]
。
门诊常会遇到不少人因腹痛、腹泻或便秘等症状到医院看病。但各种消化道非消化道的检查都做了个遍，均提示没有异常，而这些消化道症状却确确实实存在。一般出现这种情况，医生就会考虑「肠易激综合征」的可能。
此疾病的发病机制及病因尚未完全明确，可能由肠道感染、心理因素（如焦虑）、遗传因素等多种因素共同作用导致。临床一般以对症治疗为主、心理治疗为辅，患者在日常生活中还需根据医生的建议调整饮食结构。若及时接受有效的诊治，病情可得到缓解
[3]
。
值得注意的是，本病可反复出现，会对生活质量造成影响，故建议一旦发觉病情，及时就医，同时严格遵照医嘱进行治疗以及生活
[1,4]
。
什么是肠道感染后肠易激综合征？
肠道在经历细菌、病毒急慢性感染后，即使肠道黏膜炎症消退，感染因素被清除，肠镜检查已经完全正常；但是炎症引起的肠道功能紊乱依然会持续相当长时间，这种情况就是肠道感染后肠易激综合征（postinfectious irritable bowel syndrome, PI-IBS）
[1,2]
。
此情况的发生可能与肠道在对抗病原体感染时，免疫系统发生变化、肠黏膜屏障作用被削弱有关
[1]
肠易激综合征常见吗？
常见。北美、欧洲地区的患病率为 4.4%～4.8%，中国约 4.4%，也就是说，上述地区或国家的每一百人中，均大约五人患有肠易激综合征
[4,5]
。此外，中青年（18～59 岁）、女性发病率相对较高，老年人（≥ 60 岁）发病率较中青年有所下降
[1]
。
肠易激综合征有哪些类型？
根据罗马 IV 标准，肠易激综合征可按粪便性状分为以下四种类型
[1,6]
：
腹泻型（IBS-D）：糊状或水样粪比例 ≥ 25%，硬或干球粪 < 25%；
便秘型（IBS-C）：糊状或水样粪比例 < 25%，硬或干球粪 ≥ 25%；
混合型（IBS-M）：糊状或水样粪比例 ≥ 25%，硬或干球粪 ≥ 25%；
未定型（IBS-U）：不符合上述三种分型的即归属于此型。"
便秘,"便秘是什么病？
便秘是指排便次数减少（＜3 次 / 周）；粪便干硬；排便时费力、排便时肛门直肠堵塞感、排便不尽或需手法辅助排便。慢性便秘的病程至少为六个月
[1]
。
便秘是个常见病吗？
便秘是常见病，多发病。我国老年人便秘患病率为 15%～20%
[2]
，即每 100 个老年人中有 15～20 人有便秘，女性高于男性，随着年龄的增加，患病率明显增加。
便秘有哪些类型？
根据病因便秘可分为
[1]
：
器质性便秘：由肠道疾病、全身疾病等疾病引起的便秘。
药物性便秘：由于药物使用不当或副作用导致的便秘。
功能性便秘：排除疾病及药物等因素导致的便秘。"
癌前病变,"癌前病变是什么癌症吗？
癌前病变不等于癌症，它与癌是两种不同的病变，而且此病变也不是癌的前期，而是一些具有癌变潜能的良性病变
[1]
。
比较多见的癌前病变有肝细胞不典型增生、结直肠（大肠）腺瘤样息肉、慢性萎缩性胃炎伴肠上皮化生（胃黏膜上皮细胞被肠型上皮细胞代替）、黏膜白斑、宫颈上皮不典型增生、乳腺纤维囊性增生病等。
癌前病变大多是良性病变，经过规范治疗，一般不会进展成癌症
[1]
。
癌前病变常见吗？
本病常见。例如通过胃镜和胃组织活检进行的胃癌筛查中，常见的胃癌前病变（慢性萎缩性胃炎、上皮内瘤变）的比例高达 30%
[2]
。
常见的癌前病变有哪些？
不同的部位有不同的癌前病变，常见的有：
结直肠（大肠）：腺瘤样息肉、溃疡性结肠炎；
胃：慢性萎缩性胃炎伴肠上皮化生、残胃、胃腺瘤；
食管：上皮不典型增生、巴雷特食管；
肝：肝硬化、肝细胞不典型增生、腺瘤样增生；
黏膜：黏膜白斑（口腔、食管、阴茎、外阴、子宫颈等处）；
宫颈：宫颈上皮不典型增生、慢性子宫颈炎伴子宫颈糜烂；
乳腺：乳腺组织非典型增生、导管内乳头状瘤、乳腺纤维囊性增生病；
皮肤：交界痣，可出现在身体的各个部位。"
胆囊结石,"胆囊结石是一种什么病？
胆囊结石是指发生在胆囊的结石疾病
[1]
。
胆囊结石的具体临床表现取决于结石的部位、是否造成胆道梗阻和感染等因素。部分可并发胆囊炎。手术包括保守治疗及手术治疗，一般预后较好。
胆囊结石在临床上常见吗？
胆囊结石在成年人中的发病率为 10%～15%，即每 100 个成年人中，约有 10～15 个人患有胆囊结石。女性明显多于男性，男女比例约为 1：2.5，好发于 40 岁以上的人群，随着人口的老龄化、饮食结构的改变，其发病率还在逐年上升
[1]
。
胆囊结石有哪些分类？
按照结石的化学成分及胆固醇含量，可以把胆囊结石分为胆固醇结石、胆色素结石和混合结石三类
[2]
。
胆固醇结石
：胆固醇含量 ≥ 70%，胆红素和多种金属离子形成的结石；
胆色素结石
：胆固醇含量 ≤ 30%，胆囊中过度饱和的胆固醇析出晶体，形成结石；
混合型结石
：指的是胆固醇 - 胆红素混合型结石，胆固醇含量介于二者之间。
根据患者是否有症状，可分为
[1]
：
症状性胆囊结石
：会因病情的不同出现腹痛等临床表现；
无症状性胆囊结石
：可终身无症状。
大多数胆囊结石患者都是以胆固醇为主的混合型结石。
胆囊结石需要去哪个科室就诊？
胆囊结石有症状（如明显腹痛、恶心、呕吐）时需去消化内科或普通内科就诊，需手术治疗时，可能需要普通外科、肝胆外科或者肝胆胰腺外科协助诊疗。"
胆囊息肉,"胆囊息肉是什么？
胆囊息肉通俗来讲，就是胆囊黏膜壁上长出了多余的「赘肉」，形状类似于球或是半球，有蒂或无蒂均有，多为良性
[1]
。
由于胆囊息肉在术前难以确诊性质，故笼统称为「胆囊息肉样病变」或「胆囊隆起性病变」。
胆囊息肉是一种常见疾病，很多人是在体检时通过超声检查偶然发现的，因为很大一部分的胆囊息肉患者平日里并没有明显的不适症状，少数会有恶心呕吐、食欲减退和右上腹疼痛的表现。
一般来说，无明显症状的患者或是息肉直径小于 1 cm 的患者，不用进行特殊处理，只要定期复查、监测息肉情况即可
[1]
。
胆囊息肉常见吗？
常见，且男性发病率高于女性
[2]
。在我国，胆囊息肉的发病率约为 6.9％，也就是说，每 100 个人中，就可能有近七个人患有胆囊息肉
[3]
。
胆囊息肉一般分为哪几种类型？
胆囊息肉病理上可以分为
[1]
：
肿瘤性息肉：包括腺瘤和腺癌，其他少见的还有血管瘤、脂肪瘤等；
非肿瘤性息肉：如胆固醇息肉、炎性息肉、腺肌增生等。
胆固醇息肉是什么？
胆固醇息肉是胆囊黏膜面的胆固醇结晶沉积，约占所有息肉的 65% 左右，是由胆固醇沉积在黏膜下，黏膜增生所形成的。一般带有蒂，容易脱落成为胆囊炎的诱发因素
[1]
。实际上它不是真正意义上的肿瘤，也不可能恶变。
胆囊炎性息肉是什么？
胆囊炎性息肉是胆囊黏膜的增生，常呈多发，直径一般小于 1 cm，多同时合并胆囊结石和胆囊炎
[1]
。
胆囊腺肌增生是什么？
胆囊腺肌增生是胆囊壁的良性病变，病因暂未明确，主要表现为黏膜的过度增生
[1]
。
胆囊腺瘤是什么？
胆囊腺瘤是胆囊常见的良性肿瘤，多见于中、老年女性，可单发或多发。胆囊腺瘤的恶变率约为 1.5%，被认为是胆囊癌的癌前病变，一旦确诊，宜手术切除
[1]
。"
